1-Methyladenosine_pos-001,Carnitine-C18_pos-051,Guanidineacetic acid_pos-087,Hypoxanthine_pos-096,NMN_pos-162,Succinate_neg-079,state
0.000993088,4.43107E-05,0.000146666,0.002874429,1.39526E-05,0.000331381,1
0.001071626,0.000125178,0.00066056,0.004068662,5.6683E-06,0.00059563,0
0.000841352,3.92023E-05,0.00050815,0.002288677,6.30899E-05,0.000709886,0
0.000949329,4.50748E-05,0.000398441,0.004233555,7.18533E-06,0.001236091,0
0.001124947,4.14193E-05,0.000475751,0.001891558,1.5503E-05,0.000477591,1
0.00115738,2.87559E-05,0.000533401,0.00061775,3.61437E-06,0.000752747,0
0.001176193,2.63391E-05,0.000605754,0.003617853,8.58198E-06,0.000562056,1
0.001126185,7.58949E-05,0.000438633,0.003821823,3.3443E-06,0.000632805,0
0.001157794,6.09497E-05,0.000294108,0.004386313,1.27812E-05,0.000802907,0
0.001103019,2.74008E-05,0.000243022,0.000489338,1.06926E-05,0.000496951,0
0.001297719,4.83886E-05,0.000388517,0.002532728,2.33962E-06,0.000849816,0
0.000948125,5.81095E-05,0.000232953,0.004884717,4.93792E-07,0.000820809,0
0.001226355,4.92768E-05,0.000649259,0.000924711,2.27284E-06,0.000453899,0
0.00130222,7.46892E-05,0.000442178,0.003070921,1.12379E-05,0.000996182,0
0.001272042,2.45883E-05,0.000254409,0.003867351,1.23399E-05,0.000952125,0
0.001013523,8.92711E-05,0.000274475,0.003771168,1.2642E-05,0.000616552,0
0.001203501,8.23145E-05,0.000388502,0.004622757,1.31126E-05,0.000589357,0
0.001087343,3.43288E-05,0.000442116,0.003580775,2.23273E-06,0.000989409,0
0.000875822,6.17845E-05,0.000278606,0.00255898,4.91536E-06,0.000407358,0
0.001455168,6.91081E-05,0.000333885,0.003147268,6.7272E-06,0.000777407,0
0.000864558,1.12452E-05,0.000394927,0.00169759,4.15469E-06,0.000303537,1
0.001290588,6.57277E-05,0.00030469,0.00524825,5.76917E-06,0.000696418,0
0.000717748,1.1535E-05,0.00038327,0.002003495,2.17275E-05,0.000325064,1
0.001103561,1.87012E-05,0.000317854,0.002728617,1.16389E-05,0.000511752,1
0.00137074,5.19279E-05,0.000493509,0.004695247,1.06142E-05,0.000382869,1
0.001208188,3.71264E-05,0.000433262,0.004177131,5.36498E-06,0.000563172,0
0.001026454,1.77006E-05,0.000482423,0.002190373,1.27882E-05,0.000718745,0
0.001237196,5.15609E-05,0.000532942,0.004194151,7.26058E-06,0.000934077,0
0.001332054,2.78118E-05,0.00052333,0.005038925,1.16237E-05,0.000849238,0
0.001035626,5.08191E-05,0.000450764,0.006600105,9.16232E-06,0.000573367,0
0.001925826,3.10286E-05,0.000491737,0.003277834,9.59019E-06,0.000986689,0
0.000751899,4.4199E-05,0.000656213,0.002520989,8.78735E-06,0.000673683,0
0.001054892,9.45707E-06,0.000400986,0.002304657,7.66498E-06,0.000310985,1
0.000880472,4.946E-05,0.000586143,0.002951893,1.70641E-06,0.000846815,0
0.000907736,7.97154E-05,0.000422683,0.001685502,1.13905E-05,0.000484942,0
0.000984359,2.56767E-05,0.000455876,0.000351775,2.64153E-05,0.00052112,0
0.000993911,3.00985E-05,0.000466838,0.000841202,7.68396E-06,0.00061903,0
0.001069258,5.10806E-05,0.000493853,0.003914223,5.86071E-06,0.000595524,0
0.001023865,3.97618E-05,0.000300747,0.002282393,7.51088E-06,0.00084206,0
0.000982107,2.16147E-05,0.000211412,0.001767418,7.0369E-06,0.000453168,1
0.00104837,2.04157E-05,0.000307677,0.002003814,9.80697E-06,0.000441447,1
0.000868154,2.17377E-05,0.000284434,0.001393236,8.65472E-06,0.000288812,1
0.000703595,3.61133E-05,0.000268532,0.001488213,1.31325E-06,0.000315075,1
0.00117761,6.51729E-05,0.000401086,0.002993151,3.36793E-06,0.000553304,1
0.00108807,1.78587E-05,0.000483957,0.000624746,6.85694E-06,0.000469733,0
0.00104144,3.74356E-05,0.000511197,0.000144032,2.22054E-06,0.000703947,0
0.00095286,3.7127E-05,0.000432009,0.001090313,1.40285E-05,0.0007037,0
0.000831797,2.57628E-05,0.000360586,0.001309756,5.90205E-06,0.000314859,1
0.001299471,4.55613E-05,0.000377166,0.004167893,2.11804E-05,0.00134346,0
0.001092037,3.11773E-05,0.000524451,0.001557655,7.36519E-06,0.000531341,0
0.000954977,3.17358E-05,0.000559206,0.001407666,9.91861E-06,0.000445745,0
0.000850854,3.08809E-05,0.000330998,0.002273035,5.39921E-06,0.000763049,1
0.000907119,1.87902E-05,0.000313083,0.003970731,4.6045E-06,0.000476051,1
0.001187531,2.84668E-05,0.000387972,0.001765604,6.04768E-06,0.000334158,1
0.000744526,1.27295E-05,0.000375262,0.001440479,1.13764E-06,0.00028835,1
